"LongTable-checkbox","lineage1","lineage2","lineage3","depmapId","displayName"
"true","CNS/Brain","Embryonal Tumor","Medulloblastoma","ACH-001053","D425"
"true","CNS/Brain","Embryonal Tumor","Medulloblastoma","ACH-001054","D458"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-002229","D502MG"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-002230","D542MG"
"true","CNS/Brain","Embryonal Tumor","Medulloblastoma","ACH-001055","D556"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-002231","D566MG"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000243","DANG"
"true","CNS/Brain","Embryonal Tumor","Medulloblastoma","ACH-000211","DAOY"
"true","Lymphoid","Non-Hodgkin Lymphoma","Burkitt Lymphoma","ACH-000786","DAUDI"
"true","Lymphoid","Non-Hodgkin Lymphoma","Diffuse Large B-Cell Lymphoma, NOS","ACH-000334","DB"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000863","DBTRG05MG"
"true","Lymphoid","Non-Hodgkin Lymphoma","Anaplastic Large-Cell Lymphoma ALK Positive","ACH-000233","DEL"
"true","Lymphoid","Non-Hodgkin Lymphoma","Hepatosplenic T-cell Lymphoma","ACH-001057","DERL2"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oropharynx Squamous Cell Carcinoma","ACH-000207","DETROIT562"
"true","Lymphoid","Non-Hodgkin Lymphoma","Burkitt Lymphoma","ACH-002232","DG75"
"true","Bowel","Colorectal Adenocarcinoma","Colorectal Adenocarcinoma","ACH-002233","DIFI"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002348","DIPG007"
"true","Skin","Cutaneous Squamous Cell Carcinoma","Cutaneous Squamous Cell Carcinoma","ACH-002100","DJM1"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000244","DKMG"
"true","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ACH-001059","DL"
"true","Lymphoid","Non-Hodgkin Lymphoma","Anaplastic Large-Cell Lymphoma ALK Negative","ACH-001060","DL40"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001061","DLD1"
"true","Fibroblast","Non-Cancerous","Fibroblast, Lung","ACH-000742","DM3"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000530","DMS114"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000594","DMS153"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000749","DMS273"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000844","DMS454"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000698","DMS53"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000703","DMS79"
"true","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-000981","DND41"
"true","Lymphoid","Non-Hodgkin Lymphoma","Diffuse Large B-Cell Lymphoma, NOS","ACH-000056","DOHH2"
"true","Head and Neck","Head and Neck Carcinoma, Other","Head and Neck Carcinoma, Other","ACH-002234","DOK"
"true","Cervix","Mixed Cervical Carcinoma","Mixed Cervical Carcinoma","ACH-001341","DOTC24510"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Serous Ovarian Cancer","ACH-001063","DOV13"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-002235","DSH1"
"true","Prostate","Prostate Adenocarcinoma","Prostate Adenocarcinoma","ACH-000979","DU145"
"true","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000258","DU4475"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000925","DV90"
"true","Lymphoid","Non-Hodgkin Lymphoma","Burkitt Lymphoma","ACH-000877","EB1"
"true","Lymphoid","Non-Hodgkin Lymphoma","Burkitt Lymphoma","ACH-001064","EB2"
"true","Lymphoid","Non-Hodgkin Lymphoma","Burkitt Lymphoma","ACH-002236","EB3"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000563","EBC1"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Small Cell Carcinoma of the Stomach","ACH-000560","ECC10"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Small Cell Carcinoma of the Stomach","ACH-000225","ECC12"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Extrahepatic Cholangiocarcinoma","ACH-001997","ECC2"
"true","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","ACH-002024","ECC4"
"true","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ACH-000305","ECGI10"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000435","EFE184"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000330","EFM19"
"true","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000117","EFM192A"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Serous Ovarian Cancer","ACH-000308","EFO21"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Mucinous Ovarian Cancer","ACH-000936","EFO27"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Extrahepatic Cholangiocarcinoma","ACH-001494","EGI1"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-000038","EHEB"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000821","EJM"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000706","EKVX"
"true","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","ACH-000295","EM2"
"true","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-002101","EMCBAC1"
"true","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-002102","EMCBAC2"
"true","Uterus","Endometrial Carcinoma","Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor","ACH-001495","EMTOKA"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000978","EN"
"true","Myeloid","Myeloproliferative Neoplasms","Chronic Eosinophilic Leukemia, NOS","ACH-000198","EOL1"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000585","EPLC272H"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002103","ES1"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Clear Cell Ovarian Cancer","ACH-000906","ES2"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002104","ES3"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002105","ES4"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002106","ES5"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002107","ES6"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002108","ES7"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002109","ES8"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Adenocarcinoma of the Gastroesophageal Junction","ACH-001496","ESO26"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ACH-001497","ESO51"
"true","Uterus","Uterine Sarcoma/Mesenchymal","Endometrial Stromal Sarcoma","ACH-000913","ESS1"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-002237","ETK1"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ACH-001065","EVSAT"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002110","EW1"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002111","EW11"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002112","EW12"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002113","EW13"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002114","EW16"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002115","EW18"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002116","EW22"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002117","EW24"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002118","EW3"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002119","EW7"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-000499","EW8"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-000279","EWS502"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001066","EWS834"
"true","Myeloid","Myelodysplastic Syndromes","Myelodysplastic Syndromes","ACH-000487","F36P"
"true","CNS/Brain","Meningothelial Tumor","Meningioma","ACH-001067","F5"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Hypopharynx Squamous Cell Carcinoma","ACH-000846","FADU"
"true","Lymphoid","Non-Hodgkin Lymphoma","Germinal Center B-Cell Type","ACH-001498","FARAGE"
"true","Lymphoid","Non-Hodgkin Lymphoma","Anaplastic Large-Cell Lymphoma ALK Negative","ACH-001068","FEPD"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ACH-001500","FLO1"
"true","Thyroid","Well-Differentiated Thyroid Cancer","Follicular Thyroid Cancer","ACH-000903","FTC133"
"true","Thyroid","Well-Differentiated Thyroid Cancer","Follicular Thyroid Cancer","ACH-000897","FTC238"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Diffuse Type Stomach Adenocarcinoma","ACH-000633","FU97"
"true","Soft Tissue","Synovial Sarcoma","Synovial Sarcoma","ACH-001272","FUJI"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000574","FUOV1"
"true","Bone","Osteosarcoma","Osteosarcoma","ACH-000082","G292CLONEA141B1"
"true","Skin","Melanoma","Melanoma","ACH-000572","G361"
"true","Kidney","Rhabdoid Cancer","Rhabdoid Cancer","ACH-000096","G401"
"true","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-000375","G402"
"true","Biliary Tract","Intracholecystic Papillary Neoplasm","Gallbladder Adenocarcinoma, NOS","ACH-001850","G415"
"true","Lymphoid","Non-Hodgkin Lymphoma","Burkitt Lymphoma","ACH-000162","GA10"
"true","Vulva/Vagina","Mucosal Melanoma of the Vulva/Vagina","Mucosal Melanoma of the Vulva/Vagina","ACH-002120","GAK"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000098","GAMG"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000738","GB1"
"true","Biliary Tract","Intracholecystic Papillary Neoplasm","Gallbladder Adenocarcinoma, NOS","ACH-001961","GB2"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-002349","GBM001"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000047","GCIY"
"true","Soft Tissue","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","ACH-000835","GCT"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000081","GDM1"
"true","CNS/Brain","Diffuse Glioma","Gliosarcoma","ACH-000756","GI1"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-001344","GIMEN"
"true","Soft Tissue","Gastrointestinal Stromal Tumor","Gastrointestinal Stromal Tumor","ACH-002332","GISTT1"
"true","Cervix","Cervical Adenocarcinoma","Endocervical Adenocarcinoma","ACH-001071","GLC82"
"true","Skin","Melanoma","Cutaneous Melanoma","ACH-002121","GMEL"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000102","GMS10"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000027","GOS3"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-001716","GOTO"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000982","GP2D"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001345","GP5D"
"true","Lymphoid","Non-Hodgkin Lymphoma","Mantle Cell Lymphoma","ACH-000073","GRANTA519"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-001072","GRM"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-002238","GRST"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000746","GSS"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000485","GSU"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-002122","GT3TKB"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001346","H103"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001347","H157"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma","ACH-002123","H2369"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Sarcomatoid Type","ACH-002124","H2373"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-002125","H2461"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-002126","H2591"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-002127","H2595"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma","ACH-002128","H2722"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Sarcomatoid Type","ACH-002129","H2731"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-002130","H2795"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma","ACH-002131","H2803"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma","ACH-002132","H2804"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-002133","H2810"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-002134","H2818"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Biphasic Type","ACH-002135","H2869"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma","ACH-002136","H290"
"true","Head and Neck","Salivary Carcinoma","Mucoepidermoid Carcinoma","ACH-002239","H3118"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001509","H357"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001510","H376"
"true","CNS/Brain","Diffuse Glioma","Astrocytoma","ACH-000389","H4"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001511","H413"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenosquamous Carcinoma","ACH-002138","H513"
"true","Lymphoid","Non-Hodgkin Lymphoma","Sezary Syndrome","ACH-002240","H9"
"true","Kidney","Non-Cancerous","Immortalized Embyonic Kidney Cells","ACH-001310","HA1E"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002350","HA7EBV"
"true","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-002139","HA7RCC"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-002241","HAL01"
"true","Myeloid","Myeloproliferative Neoplasms","Chronic Myelogenous Leukemia","ACH-002475","HAP1"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000843","HARA"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-001736","HB1119"
"true","Breast","Non-Cancerous","Immortalized Breast Cells","ACH-002321","HBL100"
"true","Lymphoid","Non-Hodgkin Lymphoma","Hairy Cell Leukemia","ACH-002242","HC1"
"true","Cervix","Cervical Adenocarcinoma","Endocervical Adenocarcinoma","ACH-001513","HCA1"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-001514","HCC1008"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000374","HCC1143"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002378","HCC1143BL"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000578","HCC1171"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000111","HCC1187"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002373","HCC1187BL"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenosquamous Carcinoma","ACH-000868","HCC1195"
"true","Lung","Non-Small Cell Lung Cancer","Giant Cell Carcinoma of the Lung","ACH-000901","HCC1359"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000699","HCC1395"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002382","HCC1395BL"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000277","HCC1419"
"true","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000352","HCC1428"
"true","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","ACH-000891","HCC1438"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000878","HCC15"
"true","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","ACH-000349","HCC1500"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000930","HCC1569"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-001078","HCC1588"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000196","HCC1599"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002374","HCC1599BL"
"true","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","ACH-000624","HCC1806"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000712","HCC1833"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-001079","HCC1897"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000223","HCC1937"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002375","HCC1937BL"
"true","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","ACH-000859","HCC1954"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002384","HCC1954BL"
"true","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","ACH-000725","HCC202"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000314","HCC2108"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000691","HCC2157"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002381","HCC2157BL"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ACH-002322","HCC2185"
"true","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","ACH-000755","HCC2218"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002383","HCC2218BL"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenosquamous Carcinoma","ACH-000731","HCC2279"
"true","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000143","HCC2429"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000975","HCC2450"
"true","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","ACH-002323","HCC2688"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000690","HCC2814"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000150","HCC2935"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001081","HCC2998"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-002324","HCC3153"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000515","HCC33"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000575","HCC364"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenosquamous Carcinoma","ACH-000840","HCC366"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000276","HCC38"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002377","HCC38BL"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000066","HCC4006"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000667","HCC44"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000339","HCC461"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000872","HCC515"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000467","HCC56"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000668","HCC70"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000562","HCC78"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000012","HCC827"
"true","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-002333","HCC827GR"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000029","HCC827GR5"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000454","HCC95"
"true","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ACH-002243","HCE4"
"true","Eye","Non-Cancerous","Immortalized Epithelial Cells, Corneal, Differentiated","ACH-002336","HCET"
"true","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001515","HCS2"
"true","Cervix","Cervical Adenocarcinoma","Endocervical Adenocarcinoma","ACH-001516","HCSC1"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000971","HCT116"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000997","HCT15"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001084","HCT8"
"true","Lymphoid","Hodgkin Lymphoma","Hodgkin Lymphoma","ACH-000267","HDLM2"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000190","HDMYZ"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000643","HDQP1"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-001517","HEC1"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000990","HEC108"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-001518","HEC116"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000972","HEC151"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000954","HEC1A"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000941","HEC1B"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000996","HEC251"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000946","HEC265"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000831","HEC50B"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000994","HEC59"
"true","Uterus","Endometrial Carcinoma","Uterine Adenosquamous Carcinoma","ACH-000984","HEC6"
"true","Kidney","Non-Cancerous","Immortalized Embyonic Kidney Cells","ACH-000049","HEKTE"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000004","HEL"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000005","HEL9217"
"true","Cervix","Cervical Adenocarcinoma","Cervical Adenocarcinoma","ACH-001086","HELA"
"true","Bone","Chondrosarcoma","Extraskeletal Myxoid Chondrosarcoma","ACH-001519","HEMCSS"
"true","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000625","HEP3B217"
"true","Liver","Hepatoblastoma","Hepatoblastoma","ACH-000739","HEPG2"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-002140","HEY"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Low-Grade Serous Ovarian Cancer","ACH-000542","HEYA8"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-001520","HG3"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000847","HGC27"
"true","Lymphoid","Non-Hodgkin Lymphoma","Mature T and NK Neoplasms","ACH-000061","HH"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-002026","HHUA"
"true","Kidney","Non-Cancerous","Immortalized Embyonic Kidney Cells","ACH-001087","HK2"
"true","Skin","Cutaneous Squamous Cell Carcinoma","Cutaneous Squamous Cell Carcinoma","ACH-001521","HKA1"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001852","HKGZCC"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000002","HL60"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-001088","HLC1"
"true","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-001089","HLE"
"true","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000393","HLF"
"true","Fibroblast","Non-Cancerous","Fibroblast, Lung","ACH-000797","HLFA"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000721","HMC18"
"true","Skin","Melanoma","Melanoma","ACH-000931","HMCB"
"true","Breast","Non-Cancerous","Immortalized Breast Cells","ACH-000642","HMEL"
"true","Vulva/Vagina","Mucosal Melanoma of the Vulva/Vagina","Mucosal Melanoma of the Vulva/Vagina","ACH-002040","HMVII"
"true","Skin","Melanoma","Melanoma","ACH-001522","HMY1"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001090","HN"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000299","HNT34"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-002244","HO1N1"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-002045","HO1U1"
"true","Cervix","Glassy Cell Carcinoma of the Cervix","Glassy Cell Carcinoma of the Cervix","ACH-002019","HOKUG"
